x,y,z
95.16601961307876,312.76541475699594,a
116.26500975683685,293.57465092620527,a
110.52263013767084,348.99995586427167,a
143.5248624013474,345.354299247654,a
78.6551325967682,327.31083661642015,a
102.30572737467274,258.641652801359,a
108.19206682383314,233.53031152845568,a
138.28200580038956,250.26137997553937,a
75.97740683641521,224.4604304353831,a
83.76265230200822,195.41674440218895,a
120.65848611778102,184.69178461759986,a
108.0869682912496,194.38088137225895,a
93.52975122322665,201.21363659940403,a
114.39157244381992,163.34318101913254,a
141.70492423225454,199.01120450638547,a
47.57012300133704,256.05928827727627,a
102.16208590015482,297.88785753392835,a
187.99954002803608,333.6554250447964,a
168.87464975177437,389.4869433530265,a
171.2463696141806,414.22479064478244,a
160.847183083245,440.0577533818024,a
165.64379292917152,449.18744321637666,a
176.19968185245656,435.27154139055386,a
157.36055766656705,350.333972600047,a
193.92894558974325,327.86614204672696,a
172.71812388931858,307.0269967489397,a
165.63403428110848,205.20603502804857,a
182.71796908291762,209.62531168547054,a
197.8607254989637,199.7227388508761,a
141.39337221608238,147.9848468328497,a
178.95122333877774,101.94232404810816,a
211.7103031429904,154.02371385849835,a
159.5230613346955,159.97683999444592,a
151.94697283105975,167.45576713883628,a
159.86763728254485,171.72748291465007,a
146.05161060958173,168.97847316628645,a
167.51211041138896,158.95590468057844,a
180.42893961697905,240.84863555857004,a
150.62343173897233,305.39180359897887,a
169.69087554309542,304.13430394267914,a
134.11781119517113,377.27973712202845,a
160.28778393242274,390.1683751556854,a
190.6986949246629,330.48742773730885,a
148.50874979122102,304.9807194177856,a
130.42929798895045,242.28841472274166,a
64.35234884723448,131.9461315194178,a
140.96332481214355,130.1697298001502,a
169.76830267938078,53.383937402438505,a
104.04392744288407,21.639646478514294,a
133.06973964831386,38.00063354657897,a
90.91644665006758,16.347397057526052,a
126.85529714179872,-5.943070111948202,a
106.60427811633095,24.121246546608347,a
120.66598556031977,12.813592518039911,a
76.14542042271755,67.89370425086065,a
133.42102672543794,97.8165716303563,a
157.6943656796863,218.54333589322982,a
155.27385439724128,238.50065793611247,a
53.59710632880608,284.63976305617734,a
127.47585444805802,298.28611475922685,a
121.46560080853476,320.6350406801897,a
107.36006331832863,322.78616602024255,a
132.74881624356834,257.42134055393046,a
118.9313706505466,285.52148005524634,a
99.036904939353,235.63095697119303,a
114.96475533402428,210.55058204539563,a
136.2129381159368,126.9829994455751,a
156.34432957639967,137.99895024633383,a
204.58378333617105,156.94909961602525,a
111.18430744412626,104.66750203063413,a
134.6536199723131,41.45482174810655,a
131.89330766926568,65.27521938105048,a
162.3636109474202,203.86610018151384,a
123.02156049143083,252.85753259332887,a
157.95624425013457,383.61425467492336,a
172.98618731464137,422.1597481167564,a
193.6005441507177,412.801729035527,a
171.52447757438313,462.6292521228913,a
202.77363410334613,468.0639167262651,a
208.0481257168177,467.3475044469858,a
197.0973861265804,451.0779782021521,a
197.85387704321033,371.2966619971444,a
200.10208644148244,266.7843517176421,a
181.34209996195355,298.47105918847814,a
203.10842836418425,205.5212988055335,a
170.6740130867842,235.76986434938067,a
238.4026930110427,185.35189326393856,a
137.19071559336112,141.85115474684198,a
159.8948727951048,197.59406561956501,a
192.29368447092529,168.426160956113,a
205.0204363838748,202.54102312836682,a
150.9157080134849,235.77501573320922,a
142.99290186097159,209.18304672633747,a
140.41192689277966,157.17677306804558,a
198.16122546347657,229.09870921910402,a
140.4741761607374,275.1031992610601,a
133.49327370062363,253.22501478597613,a
146.71743024838517,251.82818293543068,a
159.16505125042897,257.95584088573156,a
148.21854264342915,254.58743328861553,a
178.12800872095283,269.4708652655094,a
124.26815774208335,237.60255809535238,a
153.32393571425635,134.9022594273004,a
138.2637936404197,129.39854349575762,a
124.75850634940538,84.57619621870049,a
145.3309072214268,100.65725952732913,a
158.1956650685729,71.7500458591054,a
102.45832119468037,102.61461919933714,a
51.05311011752383,94.92491563721262,a
111.0548355175561,54.868910209440116,a
151.57699618023187,78.09571102410303,a
124.50789054440807,65.34371748724669,a
81.94867636104638,108.48978127553931,a
107.14844081490818,101.484715208664,a
123.32070515909881,51.440404468246754,a
110.83428725595499,83.89550341614103,a
98.41095142386916,73.66053019513782,a
80.00021719753622,40.58554059850985,a
86.25155147308841,62.131335341246256,a
82.49138533312778,73.21655174454952,a
95.70150919288712,87.2791916306088,a
60.501552017369136,42.3236065134426,a
84.54020350035208,44.0724781986367,a
81.96123656563785,49.89387791245338,a
64.15591368865043,87.16421584226475,a
78.24680781462526,105.853449305472,a
18.999844390878337,25.448693403597588,a
81.50568801074247,68.24102051097015,a
53.763464679517654,40.133183165156765,a
29.62865601349622,58.79562641061432,a
73.26233938958828,77.70719384857944,a
16.854047507871165,91.78718842949922,a
83.46258020135383,56.69870743309116,a
87.4469036351391,99.57449873273026,a
89.06978787800244,82.04319712373672,a
55.618721503068095,122.5386490095554,a
130.99941675736858,121.28829152768452,a
169.33501130951208,137.21936784639928,a
164.77910502850847,135.22342633539364,a
200.66354495004828,109.04877161647732,a
152.10963092508715,104.52013066228079,a
199.92488028818366,82.84809627533093,a
158.75324725254936,112.53223109602305,a
169.93038799010398,115.40909712537274,a
152.05234587756556,68.9394418787511,a
149.36061970368024,99.82969526768693,a
134.81253133397132,55.36820509295944,a
88.59021792225484,79.88034711746576,a
21.199985761641884,89.23429032070169,a
37.356873288932945,111.53077068847017,a
58.92414521895692,81.90389705805649,a
74.92730212177715,123.22491785668376,a
70.05080387594036,89.50071667388386,a
66.01151887686464,118.86005117946775,a
67.95786359496165,109.65127630428714,a
76.54798074332129,113.68357818436056,a
118.31989797171946,81.28013096614188,a
134.37764407243336,72.73290762823592,a
165.99763154428015,62.00250946412069,a
102.39509856685386,66.35853349879875,a
90.96919368309631,61.70343109170773,a
93.22538636959179,30.936837765470955,a
84.30173906874299,90.26774428258523,a
123.99550914346167,23.151929983716855,a
71.69882511352928,50.58640885112459,a
101.0420895545403,91.38064337838352,a
65.53737997659958,60.56506152798505,a
68.91454759091258,96.91535387226776,a
76.86663187714589,126.54585871329465,a
31.957245359953404,36.85927188622986,a
84.34217254694465,73.50415818790486,a
130.68577303370094,84.15774296531146,a
72.83400609331025,97.53594019335173,a
130.3541649908305,75.4713593404947,a
40.464664169249275,68.08464417454775,a
104.40866974060256,80.53394101339478,a
98.6959359087506,113.91639775222342,a
65.75503335855063,93.09600973432208,a
76.17383101900946,63.72803873491699,a
42.528543606529624,99.32503928876929,a
3.8620940332583586,110.27128394613118,a
92.95755669761667,102.08737699755596,a
79.28974828863531,125.19088888269647,a
59.14476058626955,84.63468822874256,a
92.48148908873725,96.29102052437543,a
68.17759051155065,110.95522299305696,a
20.48987772666473,98.14774130866061,a
25.803291512004044,131.2498561490271,a
36.02772311984367,124.2502977642639,a
74.5518917361238,48.41635931636051,a
99.9187386954647,108.70738290366853,a
62.70592740469638,64.88954291288042,a
89.32973641282508,121.83149007438436,a
129.68133550250488,103.53696264771065,a
61.913153159397154,87.06256391980986,a
152.63072456002718,110.0539267956998,a
61.65198677444661,49.78473867627076,a
81.90669948628936,119.73822664556025,a
26.846024510363947,108.4796843996121,a
33.78633919176889,94.63559576502797,a
48.74312891932138,125.04291324029754,a
48.46838224618267,119.43286517726841,a
50.79920068213153,127.43628740422923,a
105.73794985377177,158.32486226181334,a
62.86035270357425,158.11912536295398,a
62.1329976256433,231.91419334864787,a
109.191686185067,166.6832382685788,a
67.82032241566714,134.33650083686513,a
82.22368154553598,148.3973510468931,a
128.78189190297576,135.59841523747338,a
95.60729705554598,113.45782285850402,a
90.76927401921407,113.6069439278238,a
131.83250478680378,66.28490756161466,a
71.77469862204961,102.05098539403821,a
122.20638454157653,85.86350357077691,a
112.49291603893961,106.6582654810922,a
129.31299101757395,126.0277887216941,a
59.56891613074891,104.6989561698486,a
62.792482394913534,101.09041163519845,a
123.7025456719154,87.15939657539053,a
87.4534120738331,85.67952127629951,a
38.45303322399067,104.94567976292086,a
74.37967835489731,100.86907843433266,a
61.30702549754803,94.54754373855042,a
49.986496084567875,88.64098341783688,a
78.02226325279052,145.45152019606064,a
154.48810854008963,163.04229311940645,a
113.49747523434309,104.17806581802779,a
55.68357249256991,142.33551000118763,a
82.55431891755765,75.64623442436641,a
151.3135526607445,86.25767785620337,a
135.0795355201779,90.76811015055563,a
146.0181032356785,62.485481251666556,a
165.90674325175544,110.79523493196166,a
146.28182872160423,94.16944134510453,a
117.33487018338906,68.97527380049473,a
142.89197645174244,110.99340477431724,a
254.6629886330772,283.7315536579455,b
317.7467761186297,232.15972198703435,b
295.9281909771035,301.7548127174811,b
269.70614830404617,255.1302251785966,b
